ID,Periode,Drv/Chg,Quelle,Objektname,Länge,Byte(s),Bedeutung,Werte,Bestätigt?
059E,100,D,CON,Fahrdaten 3,8,1+2,Streckenzähler,"zyklischer Wegzähler in 1/10 m bspw. Wert 4605 = 460,5 m, NICHT Tripzähler!",x
059E,100,D,CON,Fahrdaten 3,8,6,Temperatur PEM (Controller),Temperatur in °C = Wert - 40,x
05D7,100,D+C,DSP,Fahrdaten 2,7,1+2,Geschwindigkeit (exakt),"Ruhewert 0000h .. Vmax 1FB2h = 8114 = 81,14 km/h (bei Anzeige 84 km/h)",x
05D7,100,D+C,DSP,Fahrdaten 2,7,3-6,Odometer,km-Stand = Wert / 1600,x
05D7,100,D+C,DSP,Fahrdaten 2,7,7,?,Fix 0 ?,
0627,100,D+C,CHG,?,3,1-3,? Statusmeldung CHG?,"Fix 00 00 00 wenn BMS online (siehe Tab ""0627"")",
0628,100,D+C,BMS,?,3,1-3,? Statusmeldung BMS?,Fix 00 00 00 -- bleibt aus wenn BMS offline,x
0629,100,D,CON,?,3,1-3,? Statusmeldung CON?,"Fix 00 00 00 -- beginnt erst mit 59B/59E, also wenn Controller betriebsbereit -- bleibt aus wenn BMS offline",x
0659,3000,D+C,BMS,?,4,1-4,? Statusmeldung BMS?,Fix FF FF FF FF -- TODO: prüfen ob anders bei PREOP-Modus aktiv -- bleibt aus wenn BMS offline,
069F,1000,D+C,DSP,VIN,4,1-4,Seriennummer,"fix F im ersten Nibble, weitere Nibbles = letzte 7 Ziffern der VIN rückwärts",x
0701,500,D,CON,Op/PreOp-Modus,1,1,SEVCON Pre/Op-Statusmeldung,"Init = 00, danach 05=OP / 7F=PREOP -- bleibt aus wenn BMS offline",x
